GROUP_ID,ARTIFACT_ID,VERSION,LOC,USAGE_NUM,CLASS_NUM
io.lsn.spring,utilities,1.0.6,1636,10,46
com.github.gekoh.yagen,yagen-example-domain,2.4.8,748,0,11
org.grails,grails-gsp,3.1.0,6627,2,69
com.onegevity,onegevity-products-sdk,1.0.0,1210,1,18
com.hedera.hashgraph,sdk,0.8.1,4896,2,94
org.wicketstuff,jsr303,1.4.17,454,1,16
io.airlift.maven.plugins,sphinx-maven-plugin,2.1,346,0,4
org.keycloak,keycloak-installed-adapter,1.0-beta-2,252,5,3
org.dizitart,nitrite,2.0.1,11115,6,187
org.icepdf.os,icepdf-viewer,6.2.2,24892,7,301
org.keycloak,keycloak-ldap-federation,1.2.0.Final,3080,13,51
com.networknt,jdbc-manager,1.6.17,588,0,9
org.nanoframework,nano-ext-shiro,1.4.6,2601,0,42
com.erudika,para-server,1.15,6108,2,101
io.tesler,tesler-starter-quartz,3.0.4,1567,2,28
nl.ctrlaltdev,harbinger,1.0.0,1289,0,32
org.apache.hive.hcatalog,hive-hcatalog-core,2.3.5,9140,23,115
com.tradologics,tradologics-sdk,1.0.7,0,0,3863
tech.moheng,super-solid-link,1.0.0,8525,0,225
org.owasp.jbrofuzz,jbrofuzz-header,2.5,18775,0,434
com.networknt,cdc-common,1.3.5,293,4,6
be.yildiz-games,module-database,2.0.0,484,15,17
de.huxhorn.lilith,de.huxhorn.lilith.data.access.protobuf,8.3.0,8222,5,48
org.fishwife,jrugged-spring,3.2.2,1414,1,41
eu.hinsch,spring-boot-actuator-logview,0.2.4,422,0,11
de.codecentric,gatling-jdbc_2.12,1.1.0,8242,0,80
org.openimaj,core,1.3.1,27642,24,654
no.digipost,sdp-api-commons,2.2,3054,3,63
com.trasier,trasier-client-opentracing-interceptor-spring-web,0.9.20,643,1,11
org.codelibs,elasticsearch-sstmpl,1.5.1,285,4,9
org.java-websocket,Java-WebSocket,1.3.0,4548,83,60
io.github.azhur,kafka-serde-json4s_2.13,0.6.3,150,0,5
io.fabric8.django,camel-connector,2.3.5,269,0,2
xyz.jetdrone,hot-reload,0.0.5,239,0,5
com.github.zouchongjin,zutil,1.1.1,20348,9,224
com.github.kimffy24,ejoker-mq-rocketmq,3.0.1,220,0,7
org.apache.marvin,marvin-engine-executor_2.12,0.0.5,18120,0,197
ro.nextreports,nextreports-engine,7.1,24029,0,220
com.fasterxml.jackson.dataformat,jackson-dataformat-xml,2.4.4,4287,2972,45
com.litongjava,litongjava-utils,1.0.2,6718,0,105
org.craftercms,crafter-core,3.0.26,6999,5,168
org.geomajas,geomajas-face-rest,1.0.0,504,2,12
com.erigir,wrench-shiro-oauth,0.8,1242,0,17
cn.afterturn,easypoi-spring-boot-starter,0.1.1,34,9,2
com.github.lyuze,pay-sdk,1.0.0,8227,0,78
cloud.piranha.http,piranha-http-undertow,22.1.0,247,1,5
br.eti.arthurgregorio,shiro-ee,1.0.0,790,0,36
me.lessis,zoey-testing_2.11,0.1.1,1809,1,59
com.firebase,firebase-client-jvm,2.3.0,15160,6,361
org.grails,grails-gorm,1.3.7,37768,8,266
jp.co.ctc-g.jfw,jfw-data-mongodb-test,1.0.0.0,226,0,3
org.codelibs,elasticsearch-eventhook,1.3.0,375,0,8
uk.os.vt,vt,2.0.1,1349,3,25
io.springfox,springfox-swagger-common,2.9.1,2789,19,77
co.cask.cdap,cdap-kms,3.5.0,139,0,1
io.xiaper,xiaper-spring-boot-router-sole,2.1.4.RELEASE,610,1,8
com.networknt,exception,1.6.38,114,26,2
net.csdn,serviceframework-orm_2.11,2.0.5,4850,5,97
cn.hutool,hutool-db,4.0.4,5809,4,71
com.azure,azure-core-http-netty,1.5.0,579,87,9
com.networknt,swagger-validator,1.2.2,647,1,13
org.javalite,javalite-async,2.6-j8,1152,1,13
com.biqasoft,microservice-communicator,1.1.4-RELEASE,957,0,24
org.logevents,logevents-servlets-demo,0.1.18,143,0,4
de.wayofquality.blended,blended.security.scep,2.5.0-M6,486,2,5
com.cloudinary,cloudinary-http43,1.4.5,370,0,5
